                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94459,                 1.7061,                 3.0375,                0.96084,                0.02083,                      1,                0.05337,                0.03566,                0.02083,                      1,                0.05346,                0.03906,                0.86418,                 1.2278,                 2.9931,                0.92647,                  2e-05,                  2e-05,                  2e-05
                      2,                0.85394,                 1.3909,                 2.9303,                0.92671,                0.02083,                      1,                 0.0921,                0.05857,                0.02083,                      1,                0.11727,                0.07956,                0.55505,                0.94123,                 2.9629,                 0.8358,              5.901e-05,              5.901e-05,              5.901e-05
                      3,                0.67038,                 1.0531,                 2.6862,                0.88949,                0.02083,                      1,                0.32973,                0.26256,                0.02083,                      1,                0.34666,                0.27212,                0.39336,                0.67989,                 2.8902,                0.79984,               9.67e-05,               9.67e-05,               9.67e-05
                      4,                0.66003,                 0.8102,                 2.0569,                0.85128,                0.02083,                      1,                0.86119,                0.79711,                0.02083,                      1,                0.87111,                0.78065,                 0.3601,                0.54246,                 2.5185,                0.81537,             0.00013307,             0.00013307,             0.00013307
                      5,                0.56959,                0.68079,                 1.4646,                0.83941,                0.05998,                      1,                0.98731,                0.79405,                0.05998,                      1,                0.98731,                0.88314,                0.68735,                0.64739,                 2.2061,                 0.8346,             0.00016812,             0.00016812,             0.00016812
                      6,                0.56048,                 0.5567,                  1.115,                0.84479,                0.97602,                   0.88,                0.98628,                0.79486,                0.97602,                   0.88,                0.98628,                0.87546,                0.73646,                0.76792,                 1.9532,                0.85131,             0.00020185,             0.00020185,             0.00020185
                      7,                0.62121,                0.55048,                 1.0557,                0.83194,                      1,                0.93737,                0.99071,                0.78379,                      1,                0.93737,                0.99071,                0.88791,                0.71044,                0.85634,                 1.6234,                0.85983,             0.00023426,             0.00023426,             0.00023426
                      8,                0.52861,                0.49544,                0.93038,                0.81664,                      1,                0.95654,                0.99071,                0.81337,                      1,                0.95654,                0.99071,                0.89621,                0.64451,                0.89917,                 1.3098,                0.85555,             0.00026535,             0.00026535,             0.00026535
                      9,                0.50922,                0.45556,                0.82608,                0.81843,                0.95961,                0.95071,                0.98468,                0.83917,                0.95961,                0.95071,                0.98468,                0.89684,                0.60215,                0.88112,                  1.075,                0.85094,             0.00029512,             0.00029512,             0.00029512
                     10,                0.50051,                0.49483,                0.78615,                0.82568,                 0.8613,                0.99379,                0.97682,                0.78886,                 0.8613,                0.99379,                0.97682,                0.87868,                0.72367,                 1.0296,                0.96105,                0.85235,             0.00032357,             0.00032357,             0.00032357
                     11,                0.48014,                0.47667,                0.79958,                0.83238,                0.85672,                      1,                0.97178,                0.76756,                0.85672,                      1,                0.97178,                0.84899,                0.81169,                 1.2114,                 0.8871,                0.86574,              0.0003507,              0.0003507,              0.0003507
                     12,                0.50048,                0.44929,                0.73013,                0.82158,                0.82143,                      1,                 0.9654,                0.78546,                0.82143,                      1,                 0.9654,                0.85792,                0.76253,                 1.1652,                0.89077,                0.86217,             0.00037651,             0.00037651,             0.00037651
                     13,                0.43458,                0.42763,                0.77077,                0.80355,                0.82221,                      1,                0.96705,                0.79857,                0.82221,                      1,                0.96705,                 0.8721,                0.73319,                0.96335,                0.87398,                0.85545,               0.000401,               0.000401,               0.000401
                     14,                0.44752,                0.43673,                0.67831,                  0.819,                0.95325,                   0.92,                 0.9831,                   0.79,                0.95325,                   0.92,                 0.9831,                  0.885,                0.71941,                0.86207,                0.92015,                0.85112,             0.00042417,             0.00042417,             0.00042417
                     15,                0.39043,                0.37161,                0.68832,                0.80376,                0.95325,                   0.92,                 0.9831,                   0.79,                0.95325,                   0.92,                 0.9831,                  0.885,                0.71941,                0.86207,                0.92015,                0.85112,             0.00044602,             0.00044602,             0.00044602
                     16,                0.41832,                0.38911,                 0.6746,                0.81462,                0.95863,                   0.96,                0.98884,                0.83236,                0.95863,                   0.96,                0.98884,                0.90878,                0.62486,                0.75978,                0.97924,                0.83731,             0.00046655,             0.00046655,             0.00046655
                     17,                0.45736,                0.39276,                0.73168,                0.81216,                      1,                 0.9871,                  0.995,                0.85023,                      1,                 0.9871,                  0.995,                 0.9042,                 0.5856,                0.76594,                  1.176,                0.82636,             0.00048576,             0.00048576,             0.00048576
                     18,                0.43121,                0.37887,                0.76072,                0.80563,                      1,                 0.9871,                  0.995,                0.85023,                      1,                 0.9871,                  0.995,                 0.9042,                 0.5856,                0.76594,                  1.176,                0.82636,             0.00050365,             0.00050365,             0.00050365
