epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0639,0.94476,1.64534,2.97561,0.97533,0.01481,1,0.24829,0.17597,0.01481,1,0.2935,0.19971,0.73044,1.129,2.85697,0.87215,4e-05,4e-05,4e-05
2,20.8811,0.64754,1.06526,2.64067,0.88288,0.01481,1,0.78232,0.69237,0.01481,1,0.78232,0.70613,0.40245,0.65314,2.56522,0.78706,9.835e-05,9.835e-05,9.835e-05
3,31.1224,0.64098,0.74453,1.77755,0.84738,0.01481,1,0.97597,0.85091,0.01481,1,0.97597,0.89745,0.47462,0.50844,2.27614,0.78245,0.00015472,0.00015472,0.00015472
4,40.9953,0.54777,0.55492,1.13009,0.83035,0.94873,0.92522,0.95609,0.84423,0.94873,0.92522,0.95609,0.86491,0.52297,0.7625,1.78695,0.80504,0.00020911,0.00020911,0.00020911
5,51.1352,0.50477,0.49981,0.83927,0.82182,0.95058,0.96185,0.95205,0.83107,0.95058,0.96185,0.95205,0.86577,0.52493,0.72749,1.58614,0.80616,0.00026152,0.00026152,0.00026152
6,61.2322,0.49262,0.48513,0.78942,0.82456,0.89133,0.9,0.92399,0.81915,0.89133,0.9,0.92399,0.8631,0.52557,0.64432,1.37944,0.79778,0.00031195,0.00031195,0.00031195
7,71.0972,0.50506,0.49304,0.82613,0.83323,0.8733,0.86177,0.92602,0.80386,0.8733,0.86177,0.92602,0.86992,0.54971,0.67189,1.33557,0.80093,0.0003604,0.0003604,0.0003604
8,81.1382,0.44186,0.40991,0.74576,0.79901,0.90956,0.85,0.93496,0.82582,0.90956,0.85,0.93496,0.89533,0.511,0.56349,1.45095,0.7952,0.00040687,0.00040687,0.00040687
9,91.1997,0.45818,0.41614,0.70689,0.81911,0.93498,0.71911,0.92929,0.83239,0.93498,0.71911,0.92929,0.88717,0.49858,0.56656,1.54934,0.79756,0.00045136,0.00045136,0.00045136
10,100.933,0.44175,0.3994,0.73264,0.8216,0.93143,0.67931,0.93881,0.85095,0.93143,0.67931,0.93881,0.90484,0.4439,0.53135,1.61848,0.78667,0.00049387,0.00049387,0.00049387
