                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4949,                  3.539,                 4.9332,                 1.0223,                0.00132,                0.39535,                0.00127,                0.00062,                0.00147,                0.44186,                0.00137,                0.00075,                 1.6008,                 2.0704,                 4.7496,                 1.2134,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.5032,                 2.4879,                 4.3917,                 1.0699,                0.00333,                      1,                0.00824,                 0.0044,                0.00333,                      1,                0.02053,                0.00712,                 1.5071,                 2.1573,                 4.6118,                 1.0779,             0.00017491,             0.00017491,             0.00017491
                      3,                 1.4829,                 2.0873,                 3.7614,                0.99183,                0.00333,                      1,                0.00796,                0.00471,                0.00333,                      1,                0.03276,                0.00658,                 1.3777,                 1.8317,                 4.4448,                 1.0138,             0.00026416,             0.00026416,             0.00026416
                      4,                 1.3973,                 1.7779,                 3.3742,                0.95337,                0.00333,                      1,                0.00738,                0.00405,                0.00333,                      1,                0.00738,                0.00384,                 1.3279,                  1.822,                 4.2046,                 1.0387,             0.00034775,             0.00034775,             0.00034775
                      5,                  1.361,                 1.7411,                 2.6961,                 1.0248,                0.00333,                      1,                0.00723,                0.00325,                0.00333,                      1,                0.00723,                0.00346,                  1.233,                 1.7785,                  4.354,                 1.0545,             0.00042569,             0.00042569,             0.00042569
                      6,                 1.3078,                 1.8165,                 2.8275,                 1.0988,                0.00326,                0.97674,                0.00656,                0.00235,                0.00333,                      1,                0.00681,                0.00295,                 1.1985,                 1.9049,                 4.5824,                 1.0391,             0.00049797,             0.00049797,             0.00049797
                      7,                 1.2995,                 1.7677,                 2.4338,                 1.0608,                0.00326,                0.97674,                0.00381,                0.00157,                0.00326,                0.97674,                0.00431,                0.00206,                 1.2323,                 1.8849,                 7.7435,                 1.0762,             0.00056459,             0.00056459,             0.00056459
                      8,                  1.376,                 1.7393,                 2.1532,                 1.0467,                0.00326,                0.97674,                0.00502,                0.00316,                0.00326,                0.97674,                0.00502,                0.00266,                 1.2766,                 1.7478,                 8.9546,                 1.1232,             0.00062556,             0.00062556,             0.00062556
                      9,                 1.3855,                 1.9393,                  1.759,                 1.0736,                0.00318,                0.95349,                 0.0043,                0.00273,                0.00333,                      1,                0.00465,                0.00232,                 1.2944,                 1.7968,                 5.3689,                 1.1268,             0.00068087,             0.00068087,             0.00068087
                     10,                 1.2419,                 1.7089,                 1.7883,                0.98928,                0.00248,                0.74419,                0.00305,                0.00173,                0.00256,                0.76744,                0.00332,                0.00165,                 1.3614,                 1.8868,                 4.8449,                  1.164,             0.00073052,             0.00073052,             0.00073052
                     11,                 1.4061,                 1.7711,                 1.9719,                 1.0955,                0.00271,                0.81395,                0.00357,                0.00216,                0.00271,                0.81395,                0.00357,                 0.0019,                 1.2911,                 1.9446,                 4.5035,                 1.1329,             0.00077451,             0.00077451,             0.00077451
                     12,                 1.3051,                 1.7774,                 1.7937,                0.98056,                0.00287,                0.86047,                0.00376,                0.00238,                0.00287,                0.86047,                0.00376,                  0.002,                 1.2709,                  1.887,                 4.0421,                 1.1267,             0.00081285,             0.00081285,             0.00081285
                     13,                 1.2654,                 1.5118,                 1.9914,                 1.0867,                 0.0031,                0.93023,                0.28352,                0.18278,                 0.0031,                0.93023,                0.28352,                0.14866,                 1.3377,                 1.8236,                 3.8302,                 1.1557,             0.00084553,             0.00084553,             0.00084553
                     14,                  1.316,                 1.7552,                 1.7791,                 1.0802,                0.93562,                0.67595,                0.73583,                0.47651,                0.93562,                0.67595,                0.73583,                0.39334,                 1.3456,                 1.7336,                 3.7236,                 1.1705,             0.00087255,             0.00087255,             0.00087255
                     15,                 1.3183,                 1.6767,                 1.6885,                  1.037,                      1,                0.19717,                0.76716,                0.47262,                      1,                0.19717,                0.76716,                 0.3887,                 1.3847,                 1.8234,                 3.7611,                 1.1978,             0.00089392,             0.00089392,             0.00089392
                     16,                 1.2957,                 1.7962,                 2.0051,                 1.0411,                0.73267,                 0.4463,                 0.7069,                0.43731,                0.73267,                 0.4463,                 0.7069,                0.37995,                 1.4016,                 1.7576,                 3.5498,                 1.2085,             0.00090963,             0.00090963,             0.00090963
                     17,                 1.3658,                 1.6004,                 1.8757,                 1.1217,                0.42492,                0.09302,                0.49018,                0.31725,                0.42492,                0.09302,                0.49018,                0.25846,                 1.3972,                 1.7527,                 3.4003,                 1.2261,             0.00091968,             0.00091968,             0.00091968
                     18,                 1.2157,                 1.5127,                   1.92,                 1.0431,                      1,                0.45479,                0.79311,                0.50759,                      1,                0.45479,                0.79311,                 0.4006,                 1.4167,                 1.9695,                    3.4,                 1.2522,             0.00092407,             0.00092407,             0.00092407
                     19,                 1.2146,                 1.7727,                 1.8169,                 1.0073,                0.93173,                0.63492,                0.76791,                0.47765,                0.93173,                0.63492,                0.76791,                0.36748,                 1.4573,                 2.0717,                 3.3996,                  1.283,             0.00092281,             0.00092281,             0.00092281
                     20,                 1.2553,                 1.6914,                 2.1104,                 1.0309,                      1,                0.18472,                0.82294,                0.52861,                      1,                0.18472,                0.82294,                0.39631,                 1.3778,                 2.0123,                 3.2491,                  1.235,             0.00091589,             0.00091589,             0.00091589
                     21,                 1.3189,                 1.7948,                 2.0788,                 1.1194,                      1,                0.18472,                0.82294,                0.52861,                      1,                0.18472,                0.82294,                0.39631,                 1.3778,                 2.0123,                 3.2491,                  1.235,             0.00086857,             0.00086857,             0.00086857
                     22,                 1.2293,                 1.6199,                 1.8089,                 1.0171,                 0.9497,                0.43917,                0.90313,                0.56362,                 0.9497,                0.43917,                0.90313,                0.44716,                 1.3844,                 2.0335,                 3.0591,                 1.2222,             0.00086857,             0.00086857,             0.00086857
                     23,                 1.1591,                 1.5581,                 1.7719,                 1.0567,                0.90951,                0.65116,                0.96003,                0.60796,                0.90951,                0.65116,                0.96003,                0.46185,                 1.3875,                 1.9894,                 2.8003,                 1.2143,               0.000812,               0.000812,               0.000812
                     24,                 1.2696,                 1.9344,                 1.9197,                 1.0841,                0.92351,                0.84248,                0.96519,                0.62905,                0.92351,                0.84248,                0.96519,                0.44432,                  1.386,                  1.907,                  2.525,                 1.2017,             0.00075543,             0.00075543,             0.00075543
                     25,                 1.2301,                 1.4737,                 1.8151,                  1.033,                0.91796,                0.78079,                0.96444,                 0.6311,                0.91796,                0.78079,                0.96444,                0.44992,                  1.362,                  1.906,                  2.531,                 1.1863,             0.00069886,             0.00069886,             0.00069886
                     26,                 1.2051,                 1.6735,                  2.019,                0.99504,                0.90921,                0.69869,                0.95749,                0.63763,                0.90921,                0.69869,                0.95749,                0.47502,                 1.3664,                 1.9917,                 2.6872,                 1.1906,             0.00064229,             0.00064229,             0.00064229
                     27,                 1.2215,                 1.6655,                 1.9643,                 1.0156,                0.90921,                0.69869,                0.95749,                0.63763,                0.90921,                0.69869,                0.95749,                0.47502,                 1.3664,                 1.9917,                 2.6872,                 1.1906,             0.00058571,             0.00058571,             0.00058571
                     28,                 1.2213,                 1.5946,                 2.2028,                0.98542,                0.91139,                0.71763,                 0.9551,                0.60108,                0.91139,                0.71763,                 0.9551,                0.48207,                 1.3848,                 2.1323,                 2.6499,                 1.2022,             0.00052914,             0.00052914,             0.00052914
                     29,                  1.231,                  1.856,                 2.1155,                 1.0502,                0.92524,                0.86357,                0.95208,                0.59172,                0.92524,                0.86357,                0.95208,                 0.4942,                 1.3889,                 2.0044,                 2.5167,                 1.2007,             0.00047257,             0.00047257,             0.00047257
                     30,                 1.1714,                 1.4781,                 1.9849,                 1.0352,                0.93236,                0.96173,                0.94645,                0.58642,                0.93236,                0.96173,                0.94645,                0.48275,                  1.367,                 1.8698,                 2.1898,                 1.1789,               0.000416,               0.000416,               0.000416
                     31,                 1.1383,                 1.4563,                 2.0162,                0.99466,                0.92237,                0.97674,                0.94293,                0.57867,                0.92237,                0.97674,                0.94293,                0.45137,                 1.3827,                 1.7959,                 1.8825,                 1.1773,             0.00035943,             0.00035943,             0.00035943
                     32,                 1.1603,                 1.6002,                 1.9906,                0.98114,                0.93452,                0.99586,                0.94164,                0.57362,                0.93452,                0.99586,                0.94164,                0.44427,                 1.3774,                 1.7502,                  1.755,                 1.1741,             0.00030286,             0.00030286,             0.00030286
                     33,                 1.0823,                  1.546,                 1.8194,                0.99085,                0.93452,                0.99586,                0.94164,                0.57362,                0.93452,                0.99586,                0.94164,                0.44427,                 1.3774,                 1.7502,                  1.755,                 1.1741,             0.00024629,             0.00024629,             0.00024629
                     34,                 1.1423,                 1.5857,                 1.8118,                 1.0109,                0.93474,                0.99936,                0.94042,                0.57987,                0.93474,                0.99936,                0.94042,                0.43777,                 1.3581,                 1.7256,                  1.692,                 1.1619,             0.00018971,             0.00018971,             0.00018971
                     35,                 1.0928,                 1.6595,                 1.7365,                 1.0236,                0.93454,                      1,                0.94046,                0.58906,                0.93454,                      1,                0.94046,                0.42396,                 1.3363,                 1.7199,                 1.6553,                   1.15,             0.00013314,             0.00013314,             0.00013314
