epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8039,1.44673,2.13707,4.05625,1.05779,0.00317,0.95,0.01591,0.00961,0.00317,0.95,0.01591,0.01141,1.46178,1.73008,4.3307,1.07277,0.00028,0.00028,0.00028
2,74.9864,1.277,1.60861,2.25853,1.01927,0.00333,1,0.00849,0.00502,0.00333,1,0.00849,0.00439,1.25759,1.89527,4.33319,1.02578,0.000568516,0.000568516,0.000568516
3,112.093,1.28673,1.71916,1.89836,1.07981,0.00325,0.975,0.00582,0.00271,0.00317,0.95,0.00556,0.00263,1.22332,2.04117,4.36536,1.11536,0.000845152,0.000845152,0.000845152
4,148.299,1.2343,1.80866,1.95824,1.12645,0.00333,1,0.0231,0.012,0.00333,1,0.02445,0.01301,1.358,1.60124,3.79458,1.19648,0.00110991,0.00110991,0.00110991
5,182.14,1.22053,1.59483,1.79283,1.06292,0.00333,1,0.04643,0.02942,0.00333,1,0.04643,0.02609,1.20289,1.77187,3.86717,1.15062,0.00136278,0.00136278,0.00136278
6,215.834,1.28414,1.51253,1.92885,1.14333,1,0.76418,0.97157,0.58085,1,0.76418,0.97157,0.5159,1.40192,1.87865,3.2041,1.29709,0.00160378,0.00160378,0.00160378
7,249.214,1.30194,1.57134,1.66099,1.14662,0.01278,0.5,0.0204,0.01288,0.01278,0.5,0.0204,0.01204,1.32125,1.6528,47.5285,1.22708,0.0017624,0.0017624,0.0017624
8,282.858,1.23933,1.52937,1.54244,1.07603,0.9726,1,0.98963,0.62391,0.9726,1,0.98963,0.60078,1.32396,1.56913,1.68599,1.30247,0.0017228,0.0017228,0.0017228
9,316.5,1.23058,1.44232,1.48182,1.12268,0.81431,0.85,0.91378,0.55238,0.81431,0.85,0.91378,0.53164,1.44213,1.62191,2.02207,1.38757,0.0016832,0.0016832,0.0016832
10,350.033,1.18695,1.55104,1.50148,1.09239,0.97544,0.99289,0.98159,0.645,0.97544,0.99289,0.98159,0.56057,1.26818,1.66186,1.85013,1.24167,0.0016436,0.0016436,0.0016436
11,383.741,1.13875,1.44765,1.35195,1.07274,0.97496,0.97354,0.98963,0.60754,0.97496,0.97354,0.98963,0.57327,1.37732,1.62868,1.53047,1.30808,0.001604,0.001604,0.001604
12,417.577,1.16996,1.49678,1.19823,1.039,0.97363,0.92303,0.97689,0.64369,0.97363,0.92303,0.97689,0.56996,1.26733,1.72884,1.48975,1.18024,0.0015644,0.0015644,0.0015644
13,451.088,1.16444,1.52587,1.25568,1.12481,0.97421,0.94457,0.97554,0.67047,0.97421,0.94457,0.97554,0.5626,1.21647,1.7575,1.3758,1.15052,0.0015248,0.0015248,0.0015248
14,484.453,1.15197,1.3573,1.08122,1.07584,0.97418,1,0.97305,0.66641,0.97418,1,0.97305,0.59332,1.19362,1.50786,1.25964,1.13607,0.0014852,0.0014852,0.0014852
15,517.929,1.08708,1.36658,1.03235,1.01646,0.97542,0.99225,0.975,0.67112,0.97542,0.99225,0.975,0.58707,1.18261,1.68328,1.17961,1.14383,0.0014456,0.0014456,0.0014456
16,551.764,1.08405,1.45549,0.94092,1.0231,0.97364,1,0.9828,0.69185,0.97364,1,0.9828,0.58295,1.16559,1.64586,1.04759,1.13094,0.001406,0.001406,0.001406
17,585.507,1.12605,1.37659,0.97153,1.02671,0.97285,1,0.98232,0.69884,0.97285,1,0.98232,0.57884,1.11794,1.65271,1.05968,1.09484,0.0013664,0.0013664,0.0013664
18,618.867,1.04134,1.35798,0.92885,1.03361,0.97304,1,0.97671,0.6624,0.97304,1,0.97671,0.60306,1.16101,1.64687,0.98079,1.11571,0.0013268,0.0013268,0.0013268
19,652.078,1.07849,1.3972,0.87451,1.0234,0.97116,1,0.97622,0.66542,0.97116,1,0.97622,0.587,1.17527,1.5675,0.98143,1.1434,0.0012872,0.0012872,0.0012872
20,685.541,1.07169,1.3554,0.90707,1.01673,0.97344,1,0.97256,0.65399,0.97344,1,0.97256,0.55824,1.18374,1.62315,0.96558,1.14724,0.0012476,0.0012476,0.0012476
21,718.637,1.07453,1.4188,0.88638,1.02893,0.97355,1,0.97378,0.67623,0.97355,1,0.97378,0.57146,1.14355,1.50108,0.94372,1.10525,0.001208,0.001208,0.001208
22,752.214,1.10175,1.39587,0.84137,1.04053,0.9736,1,0.97305,0.63477,0.9736,1,0.97305,0.58094,1.22209,1.5486,0.92604,1.14047,0.0011684,0.0011684,0.0011684
23,785.816,1.03787,1.37652,0.76538,0.98725,0.97307,1,0.97622,0.63885,0.97307,1,0.97622,0.60152,1.2294,1.51221,0.93673,1.1604,0.0011288,0.0011288,0.0011288
24,819.032,1.07182,1.28639,0.76469,1.02574,0.97361,1,0.97744,0.67781,0.97361,1,0.97744,0.58883,1.16728,1.52741,0.82651,1.11464,0.0010892,0.0010892,0.0010892
